岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
java实习生,250-300/天,硕士,实习1个月,青岛,,：  1.精通JAVA，具有扎实的基础知识,：  1.精通JAVA，具有扎实的基础知识
JAVA实习生,150-200/天,本科,实习12个月,厦门,,,
Java工程师,180-300/天,本科,实习3个月,深圳,,按时保证质量完成工作任务；2. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3. 进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4. 进行编制项目文档和质量记录的工作；5. 维护软件使之保持可用性和稳定性,按时保证质量完成工作任务；2. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3. 进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4. 进行编制项目文档和质量记录的工作；5. 维护软件使之保持可用性和稳定性
Java实习生,150-250/天,大专,实习3个月,上海,,,
Java实习生,200-300/天,大专,实习3个月,济南,,,
JAVA实习生,500-800/天,本科,实习8个月,成都,"：1、完成软件系统代码的实现,编写代码注释和开发文档； 2、根据设计文档或需求说明完成代码编写,调试,测试和维护",： 1、要求统招二本及以上学历，计算机相关专业在校学生； 2、了解Java基础语法； 3、具备良好的业务理解能力； 4、了解spring boot开发框架； 5、了解MySQL、PostgreSQL等数据库； 6、熟悉IntelliJ IDEA、MyEclipse等开发工具,： 1、要求统招二本及以上学历，计算机相关专业在校学生； 2、了解Java基础语法； 3、具备良好的业务理解能力； 4、了解spring boot开发框架； 5、了解MySQL、PostgreSQL等数据库； 6、熟悉IntelliJ IDEA、MyEclipse等开发工具
JAVA开发工程师,150-200/天,大专,实习3个月,成都,,：1.有JAVA基础，了解Spring Boot、springMVC、mybatis、webService的技术应用；2.熟悉Spring Cloud、Dubbo微服务应用框架；3.了解主流数据库Oracle、Mysql，能定位问题并实现sql优化；4.工作积极主动，具备良好的职业素养和较强的抗压能力，能够积极主动学习新的技能；5.有较强的分析问题、独立解决问题的能力,：1.有JAVA基础，了解Spring Boot、springMVC、mybatis、webService的技术应用；2.熟悉Spring Cloud、Dubbo微服务应用框架；3.了解主流数据库Oracle、Mysql，能定位问题并实现sql优化；4.工作积极主动，具备良好的职业素养和较强的抗压能力，能够积极主动学习新的技能；5.有较强的分析问题、独立解决问题的能力
java开发工程师,150-250/天,不限,实习3个月,广州,,,
Java开发实习生,100-150/天,本科,实习6个月,重庆,,,
java开发实习生,100-150/天,本科,实习6个月,海口,】1、负责应用软件的模块设计、开发及交付；2、负责程序开发自测及文档说明编写；3、协助完成代码审核、Bug修复等其他工作,】1、2023届应届毕业生，本科及以上学历，计算机软件、通讯相关专业；2、有扎实的Java语言基础；3、有oracle/mysql数据库使用经验；4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解；5、性格开朗，学习及语言表达能力强，善于与人沟通、交流 ,】1、2023届应届毕业生，本科及以上学历，计算机软件、通讯相关专业；2、有扎实的Java语言基础；3、有oracle/mysql数据库使用经验；4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解；5、性格开朗，学习及语言表达能力强，善于与人沟通、交流 
Java开发工程师,200-300/天,本科,实习6个月,上海, :1、负责游戏功能系统的服务端开发工作；2、协助系统架构师对服务器程序进行架构分析和软件设计，并完成相应的文档；3、能够处理各模块的bug；4、负责自己所编写模块的单元测试工作；5、深入了解MYSQL底层实现，掌握多种优化原则，有做DBA的能力,[],[]
Java开发实习生,100-120/天,大专,实习12个月,广州,】 1、负责公司系统及应用软件的模块设计、开发,】 1、2021届应届毕业生，大专及以上学历，计算机软件、通讯相关专业； 2、有扎实的Java语言基础； 3、有oracle/mysql数据库使用经验； 4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解； 5、性格开朗，学习及语言表达能力强，善于与人沟通、交流 ,】 1、2021届应届毕业生，大专及以上学历，计算机软件、通讯相关专业； 2、有扎实的Java语言基础； 3、有oracle/mysql数据库使用经验； 4、掌握常用的设计模式，对Linux操作系统，网络通讯技术有深入了解； 5、性格开朗，学习及语言表达能力强，善于与人沟通、交流 
Java开发实习生,150-300/天,大专,实习10个月,贵阳,,有一定的学习能力，较好的逻辑思维,有一定的学习能力，较好的逻辑思维
JAVA开发实习生,120-150/天,本科,实习3个月,南京,,[],[]
Java开发工程师,150-300/天,本科,实习3个月,上海,,,
Java开发工程师,150-200/天,本科,实习6个月,杭州,,：1.JAVA基础扎实；熟悉Linux操作系统；熟悉Shell/Python等脚本语言；2.理解分布式算法和分布式系统设计原理；有分布式系统项目开发经验者优先；3.计算机相关专业，本科及以上学历，为人踏实，有责任心，有独立完成任务的能力；4.对业界新技术敏感，喜欢钻研，具有良好的学习能力并注重团队合作,：1.JAVA基础扎实；熟悉Linux操作系统；熟悉Shell/Python等脚本语言；2.理解分布式算法和分布式系统设计原理；有分布式系统项目开发经验者优先；3.计算机相关专业，本科及以上学历，为人踏实，有责任心，有独立完成任务的能力；4.对业界新技术敏感，喜欢钻研，具有良好的学习能力并注重团队合作
java开发实习生,100-150/天,本科,实习6个月,成都,,"：1、计算机及相关专业本科以上学历学生；2、熟悉JavaEE相关技术，熟悉Spring,iBatis，Struts等开源框架；3、熟练应用tomcat、mysql、oracle、sqlserver等；4、有良好的、高效的工作习惯，愿意通过提高工作效率的方式来完成工作任务","：1、计算机及相关专业本科以上学历学生；2、熟悉JavaEE相关技术，熟悉Spring,iBatis，Struts等开源框架；3、熟练应用tomcat、mysql、oracle、sqlserver等；4、有良好的、高效的工作习惯，愿意通过提高工作效率的方式来完成工作任务"
