岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
python开发实习生,150-300/天,本科,实习6个月,上海,： 互联网软件行业——Python开发实习生  工作职责： 配合团队其他成员进行模块开发及整合 独立完成后台服务功能模块的设计与开发 开发和维护自动化运维工具 开发和维护谷露招聘管理系统  任职要求： 有留任机会，可以随时到岗，最少实习时间3个月，一周到岗4天及以上&semi; 具备扎实的语言、数据结构、数据库、网络等基础知识； 逻辑条理性强，具备良好的沟通能力 ； 熟悉web开发优先 ； 热爱技术，追求极致者优先,： 有留任机会，可以随时到岗，最少实习时间3个月，一周到岗4天及以上&semi; 具备扎实的语言、数据结构、数据库、网络等基础知识； 逻辑条理性强，具备良好的沟通能力 ； 熟悉web开发优先 ； 热爱技术，追求极致者优先,： 有留任机会，可以随时到岗，最少实习时间3个月，一周到岗4天及以上&semi; 具备扎实的语言、数据结构、数据库、网络等基础知识； 逻辑条理性强，具备良好的沟通能力 ； 熟悉web开发优先 ； 热爱技术，追求极致者优先
Python开发工程师,120-200/天,大专,实习3个月,成都,,,
python爬虫实习生,150-200/天,本科,实习3个月,常州,：一、公司介绍：指南者教育成立于2012年，是一家提供留学申请服务、英语培训、数据分析培训的在线教育公司,：1、全日制在读研究生，掌握Python等至少一门语言，会使用常见软件进行抓包（fiddler或Charles），至少会使用浏览器抓包；2、可以应对部分反爬技术（如模拟登录，验证码，IP问题，动态加载，重定向，数字加密等），熟悉正则，XPath抽取数据，有APP爬取数据的经验，会使用Scrapy框架优先；3、具有快速学习能力，具有团队协作能力 四、你的福利：1、有竞争力的实习薪酬（150-200/天），表现优异者奖金丰厚；2、享受自由的发展空间，涉猎多个领域，在鼓励创新的氛围中快速成长；3、咖啡奶茶零食肥宅快乐水免费提供,：1、全日制在读研究生，掌握Python等至少一门语言，会使用常见软件进行抓包（fiddler或Charles），至少会使用浏览器抓包；2、可以应对部分反爬技术（如模拟登录，验证码，IP问题，动态加载，重定向，数字加密等），熟悉正则，XPath抽取数据，有APP爬取数据的经验，会使用Scrapy框架优先；3、具有快速学习能力，具有团队协作能力 四、你的福利：1、有竞争力的实习薪酬（150-200/天），表现优异者奖金丰厚；2、享受自由的发展空间，涉猎多个领域，在鼓励创新的氛围中快速成长；3、咖啡奶茶零食肥宅快乐水免费提供
Python开发实习生,200-300/天,本科,实习3个月,上海,,"： 1、本科及以上学历，计算机专业优先； 2、熟悉Django、Flask等web开发框架；熟悉基于Python的数据处理框架, 如numpy、scipy和pandas优先； 3、具有一定的Web前端开发能力，熟悉Vue、React、Angular优先； 4、熟悉Mysql、Postgresql、Mongodb或Redis等任一database，熟悉sql； 5、熟悉Linux操作系统下开发、部署和维护工作； 6、有强烈的责任心和团队合作意识，具有较强的抗压能力、具备良好的沟通能力","： 1、本科及以上学历，计算机专业优先； 2、熟悉Django、Flask等web开发框架；熟悉基于Python的数据处理框架, 如numpy、scipy和pandas优先； 3、具有一定的Web前端开发能力，熟悉Vue、React、Angular优先； 4、熟悉Mysql、Postgresql、Mongodb或Redis等任一database，熟悉sql； 5、熟悉Linux操作系统下开发、部署和维护工作； 6、有强烈的责任心和团队合作意识，具有较强的抗压能力、具备良好的沟通能力"
Python开发实习生,120-150/天,大专,实习3个月,厦门,,[],[]
python爬虫实习生,100-120/天,本科,实习3个月,厦门,,,
Python开发工程师,150-250/天,本科,实习3个月,南京,:1、有人工智能方面的经验优先,：1、 计算机或相关专业本科及以上学历；2、 掌握python开发； 职位描述:1、有人工智能方面的经验优先,：1、 计算机或相关专业本科及以上学历；2、 掌握python开发； 职位描述:1、有人工智能方面的经验优先
Python研发实习生,200-300/天,本科,实习6个月,上海,,,
实习生_Python开发,200-250/天,本科,实习7个月,上海,,,
Python开发实习生,150-180/天,本科,实习6个月,西安,：1.指定模块代码的编写与测试；2.具体功能的实现及与相关模块的集成；3.数据的抽取、整理和挖掘分析；4.软件相关文档的编写；5.项目相关资料的调研,：1、熟悉Python语言，有相关项目经验；2、熟悉MVC架构，熟悉Django或者其他Python Web开发框架；3、了解HTML、CSS、Javascript等前端技术；4、了解Linux操作系统；5、了解MySQL等常用数据库；6、具备良好的编码习惯及开发文档书写习惯；7、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力,：1、熟悉Python语言，有相关项目经验；2、熟悉MVC架构，熟悉Django或者其他Python Web开发框架；3、了解HTML、CSS、Javascript等前端技术；4、了解Linux操作系统；5、了解MySQL等常用数据库；6、具备良好的编码习惯及开发文档书写习惯；7、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力
