岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
金融实习生,120-150/天,本科,实习3个月,深圳,：1.协助财务公司内部业务自查工作，负责档案整理，信息录入等工作；2.负责员工活动组织、沟通协调、数据统计、落地执行等；3.负责客户基础资料收集、更新、整理及归档；4.负责日常用印资料打印；5.完成部门交办的其他事项,[],[]
金融实习生,0-20/天,不限,实习3个月,大连,,[],[]
金融实习生,100-120/天,不限,实习6个月,杭州,】1、公司提供丰富优质、主动精准的客户资源，通过微信跟客户介绍产品内容，对客户进行标签和分类，引导客户线上直接成交，无需自行寻找客户2、通过微信维护客户关系，以文字和语音为咨询的客户提供专业的知识解析和项目介绍（公司有完整的话术体系、快捷回复，简单容易操作）3、定期进行回访4、完成上级交办的其他任务【任职要求】1、热爱销售行业并具备踏实持续学习专业知识的能力2、具有优秀的沟通能力和逻辑思维3、人品端正，有较强的责任心和事业心，积极上进【薪资待遇】1、薪资：底薪+提成+每日奖+月奖金+业绩奖2、福利：五险一金、团建，节假日礼品等3、还有更多福利等你拿~晋升空间：实习生→渠道经理→咨询顾问→资深咨询顾问→部门经理→管理合伙人→创宁本合伙人，我们不唯经验，不唯背景，只要你肯努力就拥有上升空间,】1、热爱销售行业并具备踏实持续学习专业知识的能力2、具有优秀的沟通能力和逻辑思维3、人品端正，有较强的责任心和事业心，积极上进【薪资待遇】1、薪资：底薪+提成+每日奖+月奖金+业绩奖2、福利：五险一金、团建，节假日礼品等3、还有更多福利等你拿~晋升空间：实习生→渠道经理→咨询顾问→资深咨询顾问→部门经理→管理合伙人→创宁本合伙人，我们不唯经验，不唯背景，只要你肯努力就拥有上升空间,】1、热爱销售行业并具备踏实持续学习专业知识的能力2、具有优秀的沟通能力和逻辑思维3、人品端正，有较强的责任心和事业心，积极上进【薪资待遇】1、薪资：底薪+提成+每日奖+月奖金+业绩奖2、福利：五险一金、团建，节假日礼品等3、还有更多福利等你拿~晋升空间：实习生→渠道经理→咨询顾问→资深咨询顾问→部门经理→管理合伙人→创宁本合伙人，我们不唯经验，不唯背景，只要你肯努力就拥有上升空间
金融实习生,150-300/天,大专,实习3个月,广州,,1、热爱金融行业，有强烈意愿进入金融领域，渴望成为金融职场中的精英一族；2、具有良好的自我学习能力与团队合作精神；3、具有良好的职业操守，有强烈的责任感；4、敢于挑战自我，勇于凭自己的努力和本领获得高收益,1、热爱金融行业，有强烈意愿进入金融领域，渴望成为金融职场中的精英一族；2、具有良好的自我学习能力与团队合作精神；3、具有良好的职业操守，有强烈的责任感；4、敢于挑战自我，勇于凭自己的努力和本领获得高收益
金融实习生,100-120/天,本科,实习3个月,广州,,[],[]
金融实习生,150-250/天,大专,实习3个月,广州,：1.定期整理交易数据，向上级领导账户分析结果；2.按照要求进行技术和基本面规律的分析，进行数据的搜集及整理；3.严格执行公司各项制度，配合部门领导有关工作；4.负责为客户提供完善的理财计划及信息咨询；5.遵守公司的各项管理制度，承办领导交办的其他工作,进行技术和基本面规律的分析，进行数据的搜集及整理；3.严格执行公司各项制度，配合部门领导有关工作；4.负责为客户提供完善的理财计划及信息咨询；5.遵守公司的各项管理制度，承办领导交办的其他工作,进行技术和基本面规律的分析，进行数据的搜集及整理；3.严格执行公司各项制度，配合部门领导有关工作；4.负责为客户提供完善的理财计划及信息咨询；5.遵守公司的各项管理制度，承办领导交办的其他工作
金融实习生,1-2/天,本科,实习3个月,北京,":     金融理财师实习生(前端)  1、接触高端人才及高净值客户,挖掘客户潜在需求,进行数据统计和分析工作,帮助客户筛选合适产品并进行产品报告解读&semi; 2、定期邀约客户参加公司活动,根据客户偏好,建立客户档案&semi;   3、及时跟进客户,并对客户进行 kyc 回访&semi;   4、配合维护市场宣传活动,包括市场分析、宣传推广、活动策划及执行","：1、 国内外重点院校(985/211)本科及以上学历,金融/保险等相关专业,非相关专业， 要求个人素质极为优秀2、实习期 3 个月及以上,每周至少保证能工作 5 天以上；以实习时间更久者优先录用3、良好的沟通表达能力,口齿清晰&semi;富有热情,工作积极主动   4、熟练掌握 office 办公软件&semi;   5、有过相关实习及工作经验者优先","：1、 国内外重点院校(985/211)本科及以上学历,金融/保险等相关专业,非相关专业， 要求个人素质极为优秀2、实习期 3 个月及以上,每周至少保证能工作 5 天以上；以实习时间更久者优先录用3、良好的沟通表达能力,口齿清晰&semi;富有热情,工作积极主动   4、熟练掌握 office 办公软件&semi;   5、有过相关实习及工作经验者优先"
金融实习生,120-150/天,不限,实习3个月,深圳,,:1、全日制本科及以上学历；2、有理想有激情，有责任心有担当；3、有主动学习的能力和深度思考的习惯,:1、全日制本科及以上学历；2、有理想有激情，有责任心有担当；3、有主动学习的能力和深度思考的习惯
金融实习生,100-150/天,大专,实习6个月,天津,"1.受理公司系统的客户申请，做好信息审核工作(办公室内勤岗位)2.了解和分析客户情况，为客户量身匹配合适的方案3.为客户提供优质的全程服务，促进业务二次办理任职资格&semi; 岗位要求1.学历大专起，有在线客服或者销售岗位的工作经历优先&semi;2.良好的沟通以及执行能力，有勇气挑战业绩目标:3.工作积极主动，有较高的责任和良好的职业操守.福利待遇1.底薪4000+高额提成(15%%%%-38%%%%)+奖金(月度奖金+季度奖金)2.五险，普遍薪资1万+上不封顶&semi;3.工作时间8:30-18:00,周末双休，按照国家法定节假日作息，带薪年假和节假日&semi;4.新员工可享受入职培训、专业培训、营销技能培训，促进员工持续提升&semi;5.公司为能力优秀者提供快速晋升空间","1.学历大专起，有在线客服或者销售岗位的工作经历优先&semi;2.良好的沟通以及执行能力，有勇气挑战业绩目标:3.工作积极主动，有较高的责任和良好的职业操守.福利待遇1.底薪4000+高额提成(15%%%%-38%%%%)+奖金(月度奖金+季度奖金)2.五险，普遍薪资1万+上不封顶&semi;3.工作时间8:30-18:00,周末双休，按照国家法定节假日作息，带薪年假和节假日&semi;4.新员工可享受入职培训、专业培训、营销技能培训，促进员工持续提升&semi;5.公司为能力优秀者提供快速晋升空间","1.学历大专起，有在线客服或者销售岗位的工作经历优先&semi;2.良好的沟通以及执行能力，有勇气挑战业绩目标:3.工作积极主动，有较高的责任和良好的职业操守.福利待遇1.底薪4000+高额提成(15%%%%-38%%%%)+奖金(月度奖金+季度奖金)2.五险，普遍薪资1万+上不封顶&semi;3.工作时间8:30-18:00,周末双休，按照国家法定节假日作息，带薪年假和节假日&semi;4.新员工可享受入职培训、专业培训、营销技能培训，促进员工持续提升&semi;5.公司为能力优秀者提供快速晋升空间"
金融实习生,80-120/天,大专,实习3个月,杭州,,"：1、全日制本科及以上，专业不限，金融相关专业优先；有AFP，CFP, 证券从业资格证、基金从业资格证书优先；2、品行端正，为人诚信，无任何违法违规记录，有上进心；3、有亲和力及良好的客户沟通能力，关系管理能力和良好的谈判技巧；具有较强的责任心及客户服务意识；4、积极主动，勤奋好学、思维敏捷、行为自律，具备创造性市场开拓的能力","：1、全日制本科及以上，专业不限，金融相关专业优先；有AFP，CFP, 证券从业资格证、基金从业资格证书优先；2、品行端正，为人诚信，无任何违法违规记录，有上进心；3、有亲和力及良好的客户沟通能力，关系管理能力和良好的谈判技巧；具有较强的责任心及客户服务意识；4、积极主动，勤奋好学、思维敏捷、行为自律，具备创造性市场开拓的能力"
