岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
Java开发工程师-实习,120-150/天,本科,实习2个月,杭州,,：1、统招本科及以上学历，计算机／软件工程等相关专业，22届毕业生；2、熟悉J2EE体系架构，熟悉Struts、Spring、Hibernate、MyBatis等框架； 3、了解设计模式，熟悉主流的JAVA项目架构； 4、熟悉应用服务器如WebLogic、Tomcat 、Ajax等中间件安装、部署、调试； 5、具有数据库的开发经验，熟悉Oracle、MySql，NoSQL等； 6、热爱软件开发，具备较强的逻辑思维能力、抗压能力、良好的沟通能力和团队精神,：1、统招本科及以上学历，计算机／软件工程等相关专业，22届毕业生；2、熟悉J2EE体系架构，熟悉Struts、Spring、Hibernate、MyBatis等框架； 3、了解设计模式，熟悉主流的JAVA项目架构； 4、熟悉应用服务器如WebLogic、Tomcat 、Ajax等中间件安装、部署、调试； 5、具有数据库的开发经验，熟悉Oracle、MySql，NoSQL等； 6、热爱软件开发，具备较强的逻辑思维能力、抗压能力、良好的沟通能力和团队精神
Java软件开发助理,150-200/天,大专,实习4个月,成都,,:  1、 专业不限，经验不限，学历为大专；  2、 简单了解基本Java编程语言和思想，有编程基础；  3、 了解 SqlServer、MYSQL、ORACLE其中一种数据库开发即可；  4、 能吃苦耐劳，有良好的团队合作精神,:  1、 专业不限，经验不限，学历为大专；  2、 简单了解基本Java编程语言和思想，有编程基础；  3、 了解 SqlServer、MYSQL、ORACLE其中一种数据库开发即可；  4、 能吃苦耐劳，有良好的团队合作精神
Java后端开发实习生,150-200/天,本科,实习6个月,上海,,,
Java软件开发工程师,150-200/天,大专,实习5个月,南京,        1.与客户端同事进行前后交互调试；         2.独立完成部分模块功能开发，完善和优化现有模块功能；  4.积极参与项目的讨论，并完成相关设计和接口描述文档,[],[]
Java初级开发工程师,150-200/天,不限,实习3个月,南京,,编制开发过程中必须的各种开发文档；3、参与开发过程中的技术预研，解决产品开发过程中的关键技术问题；4、参与产品的技术支持工作；  岗位要求：1、 大专及学历以上，软件、计算机、通信、信息管理、网络工程等相关专业优先；2、 具备较强的自我管理能力、沟通能力以及团队协作精神，良好的职业素养与敬业精神,编制开发过程中必须的各种开发文档；3、参与开发过程中的技术预研，解决产品开发过程中的关键技术问题；4、参与产品的技术支持工作；  岗位要求：1、 大专及学历以上，软件、计算机、通信、信息管理、网络工程等相关专业优先；2、 具备较强的自我管理能力、沟通能力以及团队协作精神，良好的职业素养与敬业精神
Java实习生（23届）,120-180/天,本科,实习6个月,广州,,：1、计算机及相关专业本科以上学历，22届毕业生优先（若能一周实习5天的23届毕业生亦可考虑）；2、熟悉HTML、CSS、Javascript（Jquery）、JSP、servlet的使用和开发；3、熟悉J2EE体系架构，熟悉SpringMVC、Spring、Mybatis等框架，能够熟练使用这些框架进行应用开发；4、熟悉掌握Oracle或者MySQL数据库的使用；5、熟悉Tomcat、Weblogic等Web应用服务器的配置和部署； 6、要求23届毕业生，一周实习5天，能尽快到岗；7、要求长期实习，实习至毕业，提供转正机会,：1、计算机及相关专业本科以上学历，22届毕业生优先（若能一周实习5天的23届毕业生亦可考虑）；2、熟悉HTML、CSS、Javascript（Jquery）、JSP、servlet的使用和开发；3、熟悉J2EE体系架构，熟悉SpringMVC、Spring、Mybatis等框架，能够熟练使用这些框架进行应用开发；4、熟悉掌握Oracle或者MySQL数据库的使用；5、熟悉Tomcat、Weblogic等Web应用服务器的配置和部署； 6、要求23届毕业生，一周实习5天，能尽快到岗；7、要求长期实习，实习至毕业，提供转正机会
java开发实习程序员,150-200/天,大专,实习6个月,郑州,,：1、男女不限，18—28岁，应届毕业生优先；2、专科及以上学历，计算机类或理工科专业优先；3、有计算机基础优先，对此行业感兴趣，愿意长期在此方向发展；4、熟悉Jsp/Servlet、Html、JavaScript、Jquery等Web开发技术；5、对业界新的工具和技术有强烈的求知欲；6、有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；7、爱岗敬业，有良好的工作态度和团队合作精神.三、薪资待遇：1、薪资：试用期2700—3500（提供住宿+其他补助+其他福利），正式转正上岗后：4500-7000（岗位薪资+项目奖金+补助+提成）2、五险一金齐全，依法享有国家规定的带薪年假和法定的节假日福利；3、五天8小时制，周末双休，另提供员工宿舍,：1、男女不限，18—28岁，应届毕业生优先；2、专科及以上学历，计算机类或理工科专业优先；3、有计算机基础优先，对此行业感兴趣，愿意长期在此方向发展；4、熟悉Jsp/Servlet、Html、JavaScript、Jquery等Web开发技术；5、对业界新的工具和技术有强烈的求知欲；6、有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；7、爱岗敬业，有良好的工作态度和团队合作精神.三、薪资待遇：1、薪资：试用期2700—3500（提供住宿+其他补助+其他福利），正式转正上岗后：4500-7000（岗位薪资+项目奖金+补助+提成）2、五险一金齐全，依法享有国家规定的带薪年假和法定的节假日福利；3、五天8小时制，周末双休，另提供员工宿舍
Java后端工程师实习,300/天,不限,实习3个月,北京,,1.本科、计算机相关专业毕业；2.具有扎实的JAVA语言基础，熟悉JAVA的集合、线程、IO、面向对象的设计模式等；3.熟悉常用的开源框架 ：Springboot、Springcloud、Mybatis、RocketMQ等；4.掌握MYSQL数据库的使用；5.掌握面向对象的设计原理、熟悉设计模式；6.工作责任感强，有良好的沟通能力和逻辑思维能力，注重团队沟通、协作,1.本科、计算机相关专业毕业；2.具有扎实的JAVA语言基础，熟悉JAVA的集合、线程、IO、面向对象的设计模式等；3.熟悉常用的开源框架 ：Springboot、Springcloud、Mybatis、RocketMQ等；4.掌握MYSQL数据库的使用；5.掌握面向对象的设计原理、熟悉设计模式；6.工作责任感强，有良好的沟通能力和逻辑思维能力，注重团队沟通、协作
Java开发实习生（MJ004732）,100-150/天,本科,实习3个月,广州,,：1、熟悉java，有学习使用过SpringBoot、Mybatis等框架；2、熟悉Mysql的常用操作；3、积极进取，热爱编程，对未知充满好奇，乐于学习提升自我；4、实习期至少3个月以上，一周至少实习3天，全勤优先；5、不接受远程实习,：1、熟悉java，有学习使用过SpringBoot、Mybatis等框架；2、熟悉Mysql的常用操作；3、积极进取，热爱编程，对未知充满好奇，乐于学习提升自我；4、实习期至少3个月以上，一周至少实习3天，全勤优先；5、不接受远程实习
实习JAVA开发工程师,200-250/天,本科,实习12个月,全国,,,
Java开发工程实习生,200-250/天,本科,实习10个月,上海,,,
Java开发实习工程师,150-180/天,本科,实习3个月,福州,,：1. 本科学历，计算机相关专业；2. 具有扎实的JAVA基础知识，较强的动手能力；3. 熟悉Oracle/mysql任一数据库；4. 严谨踏实，强烈的进取心和责任感,：1. 本科学历，计算机相关专业；2. 具有扎实的JAVA基础知识，较强的动手能力；3. 熟悉Oracle/mysql任一数据库；4. 严谨踏实，强烈的进取心和责任感
java实习生（22届）,150-200/天,本科,实习10个月,杭州,,： 1.本科及以上学历，计算机相关专业，2018年或者19年毕业生,： 1.本科及以上学历，计算机相关专业，2018年或者19年毕业生
java软件开发实习生,180-250/天,本科,实习12个月,北京,,,
java开发实习工程师,100-120/天,本科,实习6个月,厦门,,,
Java高级开发工程师,500/天,本科,实习3个月,杭州,,：1.国内外重点高校软件工程相关专业2022届-2023届毕业生；2.熟悉计算机网络、数据结构、算法、数据库等计算机基础知识；3.熟练掌握java编程语言，了解JVM基本的运作机制；4.熟悉常用的项目管理工具git，熟悉Linux系统及常见命令，具备较好的项目管理经验；5.杰出的学习能力、独立思考能力与团队协作能力,：1.国内外重点高校软件工程相关专业2022届-2023届毕业生；2.熟悉计算机网络、数据结构、算法、数据库等计算机基础知识；3.熟练掌握java编程语言，了解JVM基本的运作机制；4.熟悉常用的项目管理工具git，熟悉Linux系统及常见命令，具备较好的项目管理经验；5.杰出的学习能力、独立思考能力与团队协作能力
对日Java开发实习生,80-150/天,大专,实习3个月,南京,：1、负责业务逻辑的功能开发和实现；2、根据公司产品及项目需求要求，深入发掘和分析业务需求，撰写技术方案和系统设计；3、编码实现各模块功能，不断进行系统优化，并确保开发质量与进度,，深入发掘和分析业务需求，撰写技术方案和系统设计；3、编码实现各模块功能，不断进行系统优化，并确保开发质量与进度,，深入发掘和分析业务需求，撰写技术方案和系统设计；3、编码实现各模块功能，不断进行系统优化，并确保开发质量与进度
