岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
开发实习生(C++),150-200/天,本科,实习3个月,上海,：  1、负责基于C++语言的图形引擎的研究，设计及开发工作  2、按照敏捷开发流程参与需求梳理，工作量评估及方案设计  3、根据研发项目进度要求，按时完成认领的开发任务，并活动单元测试，接口测试等进行质量保障  4、协助产品线完成图形引擎的升级，测试等工作，对产品线的图形引擎升级提供指导和支持；  任职要求：  1、2022年及以后学生，本科及以上学历，硕士、博士优先；  2、计算机、数学、机械、CAD\CAM、土木、建筑、GIS、仿真等相关专业；  3、热爱编程，基础扎实，有一定C++开发经验与实际解决问题能力；  4、熟悉计算机图形学，对几何算法核心、显示引擎、建模工具、VR/AR等相关领域有实践经验者优先，有实际成果并发表在会议、期刊者优先；  5、优秀学习能力，对于创新及解决具有挑战性的问题充满激情；  6、良好的沟通能力，能迅速融入团队，能够清晰的表达自己的观点和展示工作成果,，按时完成认领的开发任务，并活动单元测试，接口测试等进行质量保障  4、协助产品线完成图形引擎的升级，测试等工作，对产品线的图形引擎升级提供指导和支持；  任职要求：  1、2022年及以后学生，本科及以上学历，硕士、博士优先；  2、计算机、数学、机械、CAD\CAM、土木、建筑、GIS、仿真等相关专业；  3、热爱编程，基础扎实，有一定C++开发经验与实际解决问题能力；  4、熟悉计算机图形学，对几何算法核心、显示引擎、建模工具、VR/AR等相关领域有实践经验者优先，有实际成果并发表在会议、期刊者优先；  5、优秀学习能力，对于创新及解决具有挑战性的问题充满激情；  6、良好的沟通能力，能迅速融入团队，能够清晰的表达自己的观点和展示工作成果,，按时完成认领的开发任务，并活动单元测试，接口测试等进行质量保障  4、协助产品线完成图形引擎的升级，测试等工作，对产品线的图形引擎升级提供指导和支持；  任职要求：  1、2022年及以后学生，本科及以上学历，硕士、博士优先；  2、计算机、数学、机械、CAD\CAM、土木、建筑、GIS、仿真等相关专业；  3、热爱编程，基础扎实，有一定C++开发经验与实际解决问题能力；  4、熟悉计算机图形学，对几何算法核心、显示引擎、建模工具、VR/AR等相关领域有实践经验者优先，有实际成果并发表在会议、期刊者优先；  5、优秀学习能力，对于创新及解决具有挑战性的问题充满激情；  6、良好的沟通能力，能迅速融入团队，能够清晰的表达自己的观点和展示工作成果
机械手臂项目实习生,200-300/天,本科,实习3个月,上海,,,
视觉算法 实习生,200-250/天,本科,实习3个月,杭州,,：1.本科以上学历，计算机图形学或计算机视觉相关方向的硕士优先考虑,：1.本科以上学历，计算机图形学或计算机视觉相关方向的硕士优先考虑
嵌入式工程师实习生,200-250/天,本科,实习3个月,杭州,,,
C++/Delphi开发工程师,100-150/天,大专,实习8个月,成都,：1、负责PC客户端软件的开发与维护；任职资格：1、大专，计算机相关专业；2、喜欢编程，有一定编程基础，愿意学习C++、Delphi编程； 3、聪明，沟通和理解能力强 ，自学能力强,[],[]
软件开发工程师实习生,150-200/天,本科,实习7个月,成都,：1、在岗实践学习，C++和Delphi编程技术；2、PC客户端软件设计.研发.维护,：1、喜欢编程，有一定编程基础，熟悉C++，熟悉面向对象、指针、数据结构、多线程,：1、喜欢编程，有一定编程基础，熟悉C++，熟悉面向对象、指针、数据结构、多线程
软件研发工程师（Delphi/C++）,100-150/天,本科,实习11个月,成都,"： 1.完成上级制定项目的营销规划和阶段性目标；2.独立高效完成上级安排的工作任务以及其他协助任务；3.积极主动思考学习,提升自身工作效率和能力,提出有效建议。任职要求： 1.本科学历, 市场营销、电子商务或英语相关专业；2.英语CET-6或TEM-4及以上；3.踏实、细心；责任心、沟通和理解能力强, 自学能力强, 抗压能力好；4.对网络营销的基本工具和基本知识有所了解, 热爱国外互联网行业","： 1.本科学历, 市场营销、电子商务或英语相关专业；2.英语CET-6或TEM-4及以上；3.踏实、细心；责任心、沟通和理解能力强, 自学能力强, 抗压能力好；4.对网络营销的基本工具和基本知识有所了解, 热爱国外互联网行业","： 1.本科学历, 市场营销、电子商务或英语相关专业；2.英语CET-6或TEM-4及以上；3.踏实、细心；责任心、沟通和理解能力强, 自学能力强, 抗压能力好；4.对网络营销的基本工具和基本知识有所了解, 热爱国外互联网行业"
软件开发实习生（现场）,250-500/天,本科,实习3个月,北京,：1. 协助完成软件开发工作；2. 配合完成软件测试与后续投入使用工作；3. 辅助团队完成其它相关的技术任务,：1. 本科及以上学历，计算机应用、计算机软件设计等相关方向；2. 熟悉C++语言编程，有利用C++开发项目经验优先，具备成功的项目开发经验者优先；3. 专业知识扎实，对软件开发有浓厚兴趣；4. 良好的团队合作精神，较强的沟通能力，有较强的上进心和求知欲，善于学习和运用新知识,：1. 本科及以上学历，计算机应用、计算机软件设计等相关方向；2. 熟悉C++语言编程，有利用C++开发项目经验优先，具备成功的项目开发经验者优先；3. 专业知识扎实，对软件开发有浓厚兴趣；4. 良好的团队合作精神，较强的沟通能力，有较强的上进心和求知欲，善于学习和运用新知识
C++研发工程师实习生,100-200/天,本科,实习3个月,广州,：1. 参与软件系统研发全过程各项任务；2. 参与系统的需求分析、概要设计、详细设计等工作；3. 参与系统的具体编码、测试等工作； 4. 完成团队交办的其他工作。5. 较强的自学能力，对新兴技术敏感，乐于学习并使用新技术,：1. 全日制统招本科或以上；2. 信息管理、计算机科学与技术、软件工程等计算机相关专业；3. 有良好的数据结构及算法基础，熟悉c#、c++、.net编程（熟悉Revit、Unity3D等编程技术者优先）；4. 具备良好的独立研究能力，学习能力，沟通协调能力、知识提炼能力、团队协作精神、敬业精神；责任心强、工作积极主动，具有良好的团队合作意识,：1. 全日制统招本科或以上；2. 信息管理、计算机科学与技术、软件工程等计算机相关专业；3. 有良好的数据结构及算法基础，熟悉c#、c++、.net编程（熟悉Revit、Unity3D等编程技术者优先）；4. 具备良好的独立研究能力，学习能力，沟通协调能力、知识提炼能力、团队协作精神、敬业精神；责任心强、工作积极主动，具有良好的团队合作意识
多媒体开发工程师（实习生）,200/天,不限,实习6个月,杭州,,：1.掌握c/c++语言，熟悉STL及C++11以上标准，具备面向对象开发思想&semi;2.熟悉常见的音视频编解码方式，以及流媒体传输协议&semi;2.有良好的数据结构和算法基础&semi;3.具备良好的英文读写能力&semi;4.学习能力强，具有责任心和团队合作精神，善于沟通和合作&semi;5.有音视频开发经验，熟悉Media Foundation/FFMPEG的优先&semi;6.有图形/图像处理项目开发经验，熟悉OpenCV/OpenGL/DirectX的优先&semi;7.有AI项目开发经验，熟悉Pytorch/TensorFlow的优先&semi;8.有ACM竞赛经历的优先,：1.掌握c/c++语言，熟悉STL及C++11以上标准，具备面向对象开发思想&semi;2.熟悉常见的音视频编解码方式，以及流媒体传输协议&semi;2.有良好的数据结构和算法基础&semi;3.具备良好的英文读写能力&semi;4.学习能力强，具有责任心和团队合作精神，善于沟通和合作&semi;5.有音视频开发经验，熟悉Media Foundation/FFMPEG的优先&semi;6.有图形/图像处理项目开发经验，熟悉OpenCV/OpenGL/DirectX的优先&semi;7.有AI项目开发经验，熟悉Pytorch/TensorFlow的优先&semi;8.有ACM竞赛经历的优先
Ai算法工程师实习生,200/天,本科,实习4个月,杭州,,：1. 可以熟练使用Modern C++以及STL&semi;2. 了解深度学习相关概念&semi;3. 可以使用Git&semi; 加分项：1. 有过深度学习应用项目经验&semi;2. 较强的学习能力和良好的英语运用能力&semi; 我们提供的福利 | OurPerks 弹性办公：工作日上午9-10点打卡上班都ok，下班时间根据你上班时间而定，满8个小时就可以，也就是17-18点下班,：1. 可以熟练使用Modern C++以及STL&semi;2. 了解深度学习相关概念&semi;3. 可以使用Git&semi; 加分项：1. 有过深度学习应用项目经验&semi;2. 较强的学习能力和良好的英语运用能力&semi; 我们提供的福利 | OurPerks 弹性办公：工作日上午9-10点打卡上班都ok，下班时间根据你上班时间而定，满8个小时就可以，也就是17-18点下班
C++软件开发工程师,300-500/天,本科,实习1个月,全国,,： ●  全日制重点高校本科及以上学历，计算机、软件工程、信息安全等相关专业,： ●  全日制重点高校本科及以上学历，计算机、软件工程、信息安全等相关专业
【23、24届实习岗】量化系统开发工程师,300-500/天,本科,实习2个月,全国,,,
机器人软件开发实习（C++/Python）,300-500/天,不限,实习3个月,北京,,1. 大三及以上年级，计算机、通信、数学、机械设计等专业,1. 大三及以上年级，计算机、通信、数学、机械设计等专业
c++实习生,100-150/天,本科,实习8个月,合肥,,,
C++服务器开发工程师,100-150/天,本科,实习9个月,武汉,"：1、参与网络游戏服务器系统的设计与开发；2、负责实现相关系统架构设计、业务逻辑开发；3、现有产品的升级维护, 包括功能改进及技术支持；4、编写相关技术文档",热爱游戏事业；6、计算机或相关专业大学专科以上学历,热爱游戏事业；6、计算机或相关专业大学专科以上学历
QT工程师,400-800/天,本科,实习3个月,成都,：1、负责产品的应用开发工作；2、编写软件代码， 调试产品功能；3、解决在产品使用中遇到的各种问题，并进行总结与改进,[],[]
游戏C++程序员,120-180/天,本科,实习9个月,北京,,"，与团队协作，完成相关逻辑系统的设计和开发    岗位要求： 1、本科及以上学历； 2、熟练掌握C++、lua,有游戏项目开发经验 3、熟悉多线程编程，掌握常用数据结构和算法 4、具有严谨的逻辑思维能力、分析能力，能承受一定强度的工作压力 5、有多年大型mmo网游游戏开发经验者优先 6、有游戏内实际玩法系统开发者优先（坐骑系统、战场系统、采集等各种逻辑系统） 7、有PhysX封装使用经验者优先","，与团队协作，完成相关逻辑系统的设计和开发    岗位要求： 1、本科及以上学历； 2、熟练掌握C++、lua,有游戏项目开发经验 3、熟悉多线程编程，掌握常用数据结构和算法 4、具有严谨的逻辑思维能力、分析能力，能承受一定强度的工作压力 5、有多年大型mmo网游游戏开发经验者优先 6、有游戏内实际玩法系统开发者优先（坐骑系统、战场系统、采集等各种逻辑系统） 7、有PhysX封装使用经验者优先"
量化IT工程师实习生,150-300/天,本科,实习3个月,上海,,,
