岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
C/C++开发助理,120-150/天,本科,实习3个月,广州,：1. 根据业务需求协助功能开发；2. 协助完成产品功能的设计、开发、测试；3. 协助编制产品设计、开发手册等；4.  协助完成系统操作手册、安装手册等文档的编制； 岗位要求：1.   计算机、软件、机械相关专业2.   较熟悉 C++或C#开发语言；3.    具有较强求知欲、独立学习能力、高度的责任感、良好的时间和工作管理能力4.    性格开朗，沟通表达能力良好。5.    通过英语四级考试 欢迎专业大三以上在校生前来实习，你将获得：实习薪资和交通补贴，可开具实习证明和提供学习及成长机会，优秀实习生公司将优先留用；公司行业前景可观，业务高速发展，一经录用提供相关培训机会，具有广阔的职业发展空间,：1.   计算机、软件、机械相关专业2.   较熟悉 C++或C#开发语言；3.    具有较强求知欲、独立学习能力、高度的责任感、良好的时间和工作管理能力4.    性格开朗，沟通表达能力良好,：1.   计算机、软件、机械相关专业2.   较熟悉 C++或C#开发语言；3.    具有较强求知欲、独立学习能力、高度的责任感、良好的时间和工作管理能力4.    性格开朗，沟通表达能力良好
C/C++开发工程师,150-300/天,本科,实习9个月,南京,1、主要负责5GC、4GLTE、卫星通信、窄带集群通信方面产品研发，完成核心网元设备的设计以及核心功能开发工作。2、 排查定位现有产品的相关问题，并提供技术支持3、持续优化产品，提高产品的性能和可靠性,1、精通C/C++；统招本科及以上学历；2、精通linux系统下的软件开发；3、有网络编程经验，熟悉tcp/ip、udp、diameter、sip、rcs等协议中的一项或多项；4、熟悉运营商IMS网络架构，熟练掌握其中各网元功能及对接协议有限；5、要求具有良好的团队合作互助精神和良好的编程习惯；6、要求工作责任心强、积极主动，能够高质量地按期完成工作任务,1、精通C/C++；统招本科及以上学历；2、精通linux系统下的软件开发；3、有网络编程经验，熟悉tcp/ip、udp、diameter、sip、rcs等协议中的一项或多项；4、熟悉运营商IMS网络架构，熟练掌握其中各网元功能及对接协议有限；5、要求具有良好的团队合作互助精神和良好的编程习惯；6、要求工作责任心强、积极主动，能够高质量地按期完成工作任务
C/C++实习生(J28325),150-180/天,不限,实习3个月,青岛,,:1、院校：国内普通高等院校（2023年毕业）或教育部承认的海外高等院校在校生；2、专业：软件工程、计算机相关专业；3、能力要求：具有扎实的计算机知识，熟悉C/C++；4、素质要求：工作积极主动、严谨认真，可独立思考并解决问题，具有良好的学习能力、分析能力及团队合作力；5、实习3个月以上，每周保证3～5天到岗实习时间，有相关实习经验者优先,:1、院校：国内普通高等院校（2023年毕业）或教育部承认的海外高等院校在校生；2、专业：软件工程、计算机相关专业；3、能力要求：具有扎实的计算机知识，熟悉C/C++；4、素质要求：工作积极主动、严谨认真，可独立思考并解决问题，具有良好的学习能力、分析能力及团队合作力；5、实习3个月以上，每周保证3～5天到岗实习时间，有相关实习经验者优先
C/C++软件研发工程师,200/天,本科,实习6个月,上海,,,
软件开发实习生（C方向）,180-200/天,本科,实习6个月,杭州,,,
软件实习生（C/C++方向）,120-180/天,本科,实习6个月,济南,：作为软件团队成员之一，共同实现FPGA设计配置工具软件的设计、实现与测试。岗位要求：1.计算机、软件、微电子、电路等相关专业，英语四级及以上；2.具有较强的编程能力，精通C/C++等计算机开发语言，熟悉面向对象设计思想；3.熟悉STL常用数据结构，容器类；4.学习能力强，了解数字电路相关描述语言,：1.计算机、软件、微电子、电路等相关专业，英语四级及以上；2.具有较强的编程能力，精通C/C++等计算机开发语言，熟悉面向对象设计思想；3.熟悉STL常用数据结构，容器类；4.学习能力强，了解数字电路相关描述语言,：1.计算机、软件、微电子、电路等相关专业，英语四级及以上；2.具有较强的编程能力，精通C/C++等计算机开发语言，熟悉面向对象设计思想；3.熟悉STL常用数据结构，容器类；4.学习能力强，了解数字电路相关描述语言
C/C++研发实习工程师,120-200/天,本科,实习6个月,西安,：1、负责数据库内核功能模块的开发和测试；2、协助架构师完成技术调研；招聘要求1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题,1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，能够独立分析并解决问题
C/C++软件开发实习生,120-200/天,本科,实习8个月,北京,,,
实习C/C++开发工程师,200-250/天,不限,实习11个月,全国,,,
C/C++开发工程师(EEBP),150-180/天,本科,实习3个月,西安,,,
C/C++ 软件开发实习生,100-150/天,本科,实习4个月,宁波,1. 负责音视频基础通信平台的设计、研发、测试等工作2. 负责音视频通信相关服务和终端SDK的研发、测试工作3. 参与通信系统管理平台的设计、研发、测试等工作岗位要求 1.  C/C++ 编程、数据结构的基础；2.  对自己要求严格，做事严谨负责； 3.  有良好的学习和沟通能力，有钻研精神，能独立思考和解决问题, 1.  C/C++ 编程、数据结构的基础；2.  对自己要求严格，做事严谨负责； 3.  有良好的学习和沟通能力，有钻研精神，能独立思考和解决问题, 1.  C/C++ 编程、数据结构的基础；2.  对自己要求严格，做事严谨负责； 3.  有良好的学习和沟通能力，有钻研精神，能独立思考和解决问题
客户端开发工程师-C/C++,200-300/天,本科,实习2个月,长沙,,： 1、计算机相关专业，大学本科及以上学历或具备同等能力； 2、有扎实的C/C++基础，深入了解数据结构原理，熟悉STL，并能熟练使用Visual Studio进行开发； 3、了解Windows Platform SDK开发技术(Windows Message. COM. Thread. Process.  IPC等)； 4、熟悉Windows平台网络编程技术； 5、热爱学习，有独立思考能力和分析问题能力；   有以下任何一项经验的更佳： 6、熟练使用QT开发图形用户界面程序； 7、熟悉Windows平台高级开发技术(PE结构. Hook. API Hook. COM Hook. DLL Injection等)优先； 8、熟悉Windows平台安全分析技术，擅长二进制分析， 擅长恶意代码查杀技术者优先,： 1、计算机相关专业，大学本科及以上学历或具备同等能力； 2、有扎实的C/C++基础，深入了解数据结构原理，熟悉STL，并能熟练使用Visual Studio进行开发； 3、了解Windows Platform SDK开发技术(Windows Message. COM. Thread. Process.  IPC等)； 4、熟悉Windows平台网络编程技术； 5、热爱学习，有独立思考能力和分析问题能力；   有以下任何一项经验的更佳： 6、熟练使用QT开发图形用户界面程序； 7、熟悉Windows平台高级开发技术(PE结构. Hook. API Hook. COM Hook. DLL Injection等)优先； 8、熟悉Windows平台安全分析技术，擅长二进制分析， 擅长恶意代码查杀技术者优先
