岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
前端开发工程师,120-200/天,本科,实习6个月,杭州,,"】1.熟悉可视化技术，包括但不限于 Echarts、D3、Highcharts、Threejs、WebGL；2.熟练掌握各项 Web 前端技术 (HTML/CSS/Javascript) ，了解 svg，canvas，webgl 技术；3.熟悉前端框架vue&semi;4.掌握python语言的基本使用，掌握python常用库的使用，有Django使用经验(加分项)；5.熟悉postgresql数据库，以及常用SQL；6.了解Git,Linux、Shell以及其常用命令；7.对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准；8.英文水平良好, 能阅读英语技术文档；9.有自己的技术博客、网站作品或GitHub优先；10.能在上级引导下，独立完成相关业务开发，处理业务问题，有较好的逻辑能力；11.积极乐观，有强烈的学习能力和热情，乐于技术探索和研究；12.富有责任心，良好的团队协作和沟通能力，善于自我管理和自我驱动","】1.熟悉可视化技术，包括但不限于 Echarts、D3、Highcharts、Threejs、WebGL；2.熟练掌握各项 Web 前端技术 (HTML/CSS/Javascript) ，了解 svg，canvas，webgl 技术；3.熟悉前端框架vue&semi;4.掌握python语言的基本使用，掌握python常用库的使用，有Django使用经验(加分项)；5.熟悉postgresql数据库，以及常用SQL；6.了解Git,Linux、Shell以及其常用命令；7.对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准；8.英文水平良好, 能阅读英语技术文档；9.有自己的技术博客、网站作品或GitHub优先；10.能在上级引导下，独立完成相关业务开发，处理业务问题，有较好的逻辑能力；11.积极乐观，有强烈的学习能力和热情，乐于技术探索和研究；12.富有责任心，良好的团队协作和沟通能力，善于自我管理和自我驱动"
前端开发助理,150-250/天,大专,实习3个月,成都,,,
前端开发实习生,200-250/天,本科,实习3个月,深圳,,】1. 拥有扎实的计算机科学基础知识，欢迎计算机相关专业同学投递；2. 熟悉python、go、nodejs、c/c++、java至少一门高级语言，具有良好的编码习惯；3. 了解前端相关技术；4. 有数据库的使用经验；5. 具有较好的沟通、学习及抗压能力,】1. 拥有扎实的计算机科学基础知识，欢迎计算机相关专业同学投递；2. 熟悉python、go、nodejs、c/c++、java至少一门高级语言，具有良好的编码习惯；3. 了解前端相关技术；4. 有数据库的使用经验；5. 具有较好的沟通、学习及抗压能力
前端开发实习生,120-200/天,本科,实习3个月,上海,：1、负责toB场景下PC端和移动端的前端研发工作，对前端进行组件化的架构设计。2、通过各种前端技术手段，提高用户体验并满足性能要求。3、帮助团队搭建高性能、高可用和安全的前端框架，持续提升前端开发效率和质量。岗位要求：1、本科或硕士在读，计算机/数学/物理/电子工程等理工科专业优先。2、熟悉html5，css3，javascript等前端基础技术，有很强的代码编写能力，对主流前端框架有深入了解和使用，比如React，Vue，Node.JS等。3、熟悉http/https，具备数据库相关知识，能熟练使用网络抓包工具。4、有强烈的责任心和团队精神，善于沟通合作，学习能力强，能独立完成相关设计和编码,,
前端开发工程师,150-200/天,本科,实习6个月,南京,,"：1、2023届应届毕业生，统招本科以上学历，计算机软件相关专业优先2、性格开朗，学习及语言表达能力强，善于与人沟通、交流3、熟悉前端VUE框架，了解前后端分离的理念；4、了解html5、css3、javascript等web前端开发技术，包括sass,es6","：1、2023届应届毕业生，统招本科以上学历，计算机软件相关专业优先2、性格开朗，学习及语言表达能力强，善于与人沟通、交流3、熟悉前端VUE框架，了解前后端分离的理念；4、了解html5、css3、javascript等web前端开发技术，包括sass,es6"
前端开发实习生,300-500/天,不限,实习6个月,上海,"描述： 1. 根据项目需求按时完成产相关产品界面的代码设计、开发工作2. 制作标准优化的代码，并增加交互动态功能3. 对已有产品中的代码持续更新迭代优化和重构4. 持续的优化前端体验和页面响应速度，并保证兼容性和执行效率5. 配合后台工程师一起研讨技术实现方案，进行应用及系统整合6. 配合测试进行前端 bug 的修复 任职资格： 1. 符合鹰谷价值观：客户第一；有目标，才能实现梦想；因为坦诚，所以简单；你的后背，可以交给我；开心工作，开心生活2. 计算机相关专业、生物信息学、非计算机专业但有强烈从事软件开发的兴趣和行动力，即可报名。3. 掌握 web 系统开发技术，熟悉 HTML5、CSS3、Javascript，能高效还原视觉稿4. 良好的代码风格和编程习惯，能够合理利用设计模式和模块化的组织方式对代码进行优化5. 具有良好的沟通、理解及逻辑分析能力，学习能力强，有责任心6. 英文水平良好、可熟练阅读英文资料 公司介绍  2013 年 6 月，成立于中国药谷——上海张江，由中国健康产业基金等著名机构投资成立的高科技公司。鹰谷致力于生物医药科研领域的电子实验记录本、实验室信息化、大数据、人工智能和自动化应用软件开发，已经为恒瑞医药（中国市值最高的医药企业）、迈瑞医疗（中国最大的医疗器械公司）、上药集团（中国规模最大的医药企业）、蓝晶微生物（中国最领先的合成生物学企业）、晶泰科技（中国最领先的AI制药公司之一）、英矽智能（中国最领先的AI制药公司之一）、科望生物、舒泰神美国加州研发中心、美国SparX、美迪西生物医药、复旦张江医药、南大光电、中科院上海神经研究所（中国最领先的脑神经研究机构）等领先企业提供服务。鹰谷获得 2018 年国家科技重大专项资助，从事大数据和人工智能驱动的精准药物设计研究。 鹰谷提供以电子实验记录本为中心的数字化实验室解决方案，主要包括：电子实验记记录本（InELN）、化合物注册管理(InCMS)、结构式编辑器(InDraw)、基因编辑器（InSequence）试剂库存管理（InWMS）、科研项目管理（InProject）等实验室数据采集和管理软件服务。鹰谷电子实验记录本在中国销量领先，并已经率先进入美国市场，From China, For Global，是中国首家电子实验记录科研软件出海的企业",[],[]
前端开发实习生,250-300/天,本科,实习5个月,上海,,,
前端开发实习生,150-200/天,本科,实习6个月,杭州,,,
前端开发实习生,100-150/天,本科,实习6个月,深圳,,：1.学习并使用JavaScript、CSS/CSS3.HTML4/HTML5编程开发，熟悉其标准规范及各浏览器差异性,：1.学习并使用JavaScript、CSS/CSS3.HTML4/HTML5编程开发，熟悉其标准规范及各浏览器差异性
前端开发助理,150-250/天,大专,实习3个月,成都,,,
